name,location,rate,cost
San Churro Cafe,Banashankari,3.8,800
Kirthi's Biryani,Banashankari,3.8,700
Stoned Monkey,Banashankari,4.3,500
Floured-Baked With Love,Banashankari,3.8,400
Waffle-A-Go Go,Banashankari,3.9,400
Sri Venkateshwara Sweet Meat Stall,Basavanagudi,4.0,400
Redberrys,Basavanagudi,4.0,600
Amande Patisserie,Basavanagudi,4.0,300
A2B Veg - Adyar Ananda Bhavan,Basavanagudi,2.7,400
The Krishna Grand,Banashankari,3.9,750
Sea Spice by 7 Star,Banashankari,4.0,1200
Mini Punjabi Dhaba,Banashankari,4.2,350
Onesta,Banashankari,4.6,600
Wamama,Banashankari,4.2,800
Jalsa,Banashankari,4.1,800
Vinny's,Banashankari,4.2,800
Jcubez,Banashankari,3.8,1300
Gustoes Beer House,Banashankari,4.1,1200
Penthouse Cafe,Banashankari,4.0,700
Spice Elephant,Banashankari,4.1,800
Smacznego,Banashankari,4.2,550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,4.1,500
Cafe Shuffle,Banashankari,4.2,600
The Coffee Shack,Banashankari,4.2,500
Peppy Peppers,Banashankari,4.2,800
Anna Kuteera,Banashankari,4.0,450
Szechuan Dragon,Banashankari,4.2,600
1947,Banashankari,4.0,850
Caf-Eleven,Banashankari,4.0,450
Thamboola,Banashankari,3.9,800
San Churro Cafe,Banashankari,3.8,800
Cafe Vivacity,Banashankari,3.8,650
Chung Wah,Banashankari,3.9,900
Vietnamese Kitchen,Banashankari,3.6,700
Catch-up-ino,Banashankari,3.9,800
Kirthi's Biryani,Banashankari,3.8,700
T3H Cafe,Banashankari,3.9,300
Srikrishna Bhavan,Banashankari,3.8,300
Dal Tadkaa,Banashankari,2.5,500
The Vintage Cafe,Banashankari,3.0,400
Green Gardenia,Banashankari,3.8,700
Kadala Tarangaa,Banashankari,3.6,600
Vi Ra's Bar and Restaurant,Banashankari,3.3,800
Nandhini Deluxe,Banashankari,2.6,600
J Spice,Banashankari,3.8,750
Swadesh Tadka,Banashankari,3.5,600
Iyer's Tiffin Centre,Banashankari,3.8,150
Darbar,Banashankari,3.0,800
Beijing Bites,Banashankari,2.7,850
The Pizzeria,Banashankari,2.8,800
As On Fire,South Bangalore,3.5,400
Pizza Hut,Banashankari,3.7,750
New Prashanth Hotel,Banashankari,3.9,650
Taaza Thindi,Banashankari,4.7,100
Ayodhya Upachar,Banashankari,4.3,200
Roving Feast,Banashankari,4.0,450
KFC,Banashankari,3.8,450
Gama Gama,Banashankari,3.9,200
McDonald's,Banashankari,3.9,500
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,4.4,100
Messy Bowl,Banashankari,3.8,500
Janahaar,Banashankari,3.8,100
Chumma Delicious,Banashankari,3.7,200
Bengaluru Coffee House,Banashankari,4.1,300
Foodiction,Banashankari,2.8,500
The Biryani Cafe,Banashankari,4.1,300
Addhuri Udupi Bhojana,Banashankari,3.7,300
Subway,Banashankari,3.7,600
Hotel Mangala,Banashankari,3.9,250
SLV Swadishta,Banashankari,3.8,300
Upahar Sagar,Banashankari,3.8,350
Domino's Pizza,Banashankari,3.9,800
New Sagar Fast Food,Banashankari,3.6,250
Chicken Hunt,Banashankari,3.5,350
Pizza Stop,Banashankari,3.0,600
Faasos,Banashankari,4.2,500
Rasoi,Banashankari,3.3,300
SLV Refreshment,Banashankari,4.1,100
Chatar Patar,Banashankari,3.7,300
Kidambi's Kitchen,Banashankari,3.5,300
Tandoori Knight,Banashankari,3.0,450
Utsav,Banashankari,3.7,200
Mane Thindi,Banashankari,3.7,200
Juicy Momos,Banashankari,3.5,250
Donne Biriyani House,Banashankari,3.9,400
Matru Sagar,Banashankari,3.6,250
Kavali,Banashankari,4.0,300
Bunt's Biriyani Palace,Banashankari,3.0,400
Ranganna Military Hotel,Jayanagar,4.2,350
Roti Ghar,Basavanagudi,3.9,500
Grand Village,Basavanagudi,3.8,600
Vidyarthi Bhavan,Basavanagudi,4.4,150
Bharjari Oota,Basavanagudi,3.9,350
Gokul Veg,Basavanagudi,3.8,750
SLV Corner Restaurant,Basavanagudi,4.1,550
Timepass Dinner,Basavanagudi,3.8,600
Baisakhi,Basavanagudi,3.8,500
Eat Repeat,Basavanagudi,3.9,150
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,4.1,150
Srinathji's Cafe,Basavanagudi,3.8,550
Soho Bar & Grill,Basavanagudi,2.7,1100
Kollapuri's,Basavanagudi,3.9,450
Bhavani Restaurant,Basavanagudi,3.9,300
Puliyogare Point,Basavanagudi,4.2,100
Zephyr,Basavanagudi,3.9,650
Redberrys,Basavanagudi,4.0,600
Hotel Dwarka,Basavanagudi,4.2,250
Ma-Arya Family Restaurant,Basavanagudi,3.7,600
A2B - Adyar Ananda Bhavan,Mysore Road,3.8,400
Ragoo's,Jayanagar,3.9,800
Imperial Restaurant,Mysore Road,3.7,750
Udupi Sri Krishna Bhavan,Basavanagudi,4.1,600
Curry Leaves,Basavanagudi,4.1,800
Goli Vada Pav No. 1,Basavanagudi,3.7,200
Ice Thunder,Basavanagudi,3.8,300
South Kitchen,Basavanagudi,4.3,100
Upahara Darshini,Basavanagudi,4.2,150
Mahalaxmi Tiffin Room,Basavanagudi,4.1,100
Sandwichwallas,Basavanagudi,4.0,200
Udupi Grand,Basavanagudi,3.8,300
Castle Rock,Uttarahalli,3.6,700
Kamat Bugle Rock,Basavanagudi,3.9,300
Basavanagudi Mylari,Basavanagudi,4.0,300
RS Shiv Sagar,Basavanagudi,3.7,450
Pramukh Family Restaurant,Basavanagudi,3.9,700
Chaatimes,Basavanagudi,3.8,200
Vybhava,Jayanagar,3.8,250
Shree Venkateshwara North Karnataka Hotel,Basavanagudi,4.0,200
Harshi Super Sandwich,Basavanagudi,3.8,150
Belly Squad Food Truck,South Bangalore,3.8,300
Jcubez,Banashankari,3.8,1300
Gustoes Beer House,Banashankari,4.1,1200
Vi Ra's Bar and Restaurant,Banashankari,3.3,800
Darbar,Banashankari,3.0,800
Soho Bar & Grill,Basavanagudi,2.7,1100
Deja Vu Resto Bar,Bannerghatta Road,4.4,900
Fattoush,Bannerghatta Road,4.2,1000
Empire Restaurant,Bannerghatta Road,4.3,750
Abhiruchi Hotel,Bannerghatta Road,3.3,550
Barbeque Nation,JP Nagar,4.7,1600
Sattvam,JP Nagar,4.3,1200
24th Main,JP Nagar,4.1,800
Zaitoon,JP Nagar,4.1,1000
Oye Amritsar,JP Nagar,3.8,1000
Melt - Eden Park,JP Nagar,4.0,1000
Spice Code,JP Nagar,4.0,1000
The Onyx - The HHI Select Bengaluru,JP Nagar,3.3,950
Sankranthi Veg Restaurant,BTM,3.0,600
Cafe Kabana,Bannerghatta Road,4.0,700
Butterly,Bannerghatta Road,3.9,450
Black Mug Cafe,Bannerghatta Road,3.7,300
#refuel,Bannerghatta Road,3.7,400
WAFL,Bannerghatta Road,3.9,400
Vaho Kafe & Pressery,Bannerghatta Road,3.9,500
Dreamcatcher,Bannerghatta Road,3.9,600
Cafe Arabica,Bannerghatta Road,3.8,700
Kalmane Koffees,Bannerghatta Road,3.9,350
Brews N Bites,Bannerghatta Road,2.7,650
Slate Cafe,JP Nagar,4.1,600
Dialogues,JP Nagar,4.0,600
Mudpipe Cafe,JP Nagar,3.9,800
TAB - Take A Break,JP Nagar,4.1,550
Biggies Burger 'n' More,JP Nagar,4.1,650
Onesta,JP Nagar,4.4,600
Cafe Potpourri,JP Nagar,3.7,400
Vinaya Coffee Moments,JP Nagar,3.7,450
Cuppa,JP Nagar,3.4,550
Skytouch Le Cafe,JP Nagar,3.7,700
Woodee Pizza,JP Nagar,2.7,500
Sai Abhiruchi,BTM,3.7,800
Capsicum Family Restaurant,BTM,3.8,800
Easy Bites,JP Nagar,4.1,300
Hiyar Majhe Kolkata,BTM,4.0,400
Sri Lakshmi Dhaba,BTM,2.9,250
XO Belgian Waffle,BTM,4.5,400
Swadista Aahar,BTM,4.1,300
Al-Bek,JP Nagar,3.6,300
Aniram's,JP Nagar,4.1,500
Punjabi Nawabi,Bannerghatta Road,3.8,400
Swad Punjab Da,BTM,4.0,150
BOX8- Desi Meals,Bannerghatta Road,4.1,500
Roti Wala,BTM,4.0,300
Midnight Mania,BTM,4.1,700
Kitchens@JP Nagar,JP Nagar,3.9,400
Krishna Kuteera,Bannerghatta Road,4.0,400
Apna Punjab,BTM,3.6,450
Paratha Junction,BTM,2.9,300
Nellore Bhojanam,Bannerghatta Road,3.1,250
Momoz,BTM,4.0,600
Kalingas,BTM,3.9,250
Kanteen The Eatery,Bannerghatta Road,3.9,400
Kullad Cafe,BTM,3.9,200
Donne Biriyani House,JP Nagar,3.3,350
Litti Twist,BTM,4.1,300
FreshMenu,Bannerghatta Road,3.3,450
Shanthi Sagar,JP Nagar,3.6,400
Cakebuy,Bannerghatta Road,3.9,350
Five Star Chicken,JP Nagar,3.9,300
Corner House Ice Cream,Jayanagar,4.4,400
Fattoush,Bannerghatta Road,4.2,1000
Behrouz Biryani,Bannerghatta Road,4.0,650
Abhiruchi Hotel,Bannerghatta Road,3.3,550
Hind Ka Chulah,Bannerghatta Road,3.8,600
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,JP Nagar,3.6,300
Pizza Hut,JP Nagar,2.7,750
Subway,Bannerghatta Road,3.2,600
Biryani Durbar,Bannerghatta Road,3.7,400
Mahesh Friends Food Center,BTM,2.9,300
Kabab Magic,Jayanagar,4.0,400
Burger King,Bannerghatta Road,3.8,600
Dadi's Dum Biryani,Bannerghatta Road,4.0,800
Alankrutha,BTM,3.9,500
Paradise,JP Nagar,4.0,800
Andhra Ruchulu,JP Nagar,4.2,800
Adithya,JP Nagar,4.0,300
Cheesiano Pizza,JP Nagar,4.0,700
Le Arabia,JP Nagar,,600
KFC,JP Nagar,3.9,400
Dande's Hyderabad Biryani,Bannerghatta Road,3.8,700
Onesta,JP Nagar,4.4,600
Upahara Bhavan,Bannerghatta Road,3.8,300
Shuddh Desi Khana,Bannerghatta Road,4.0,400
Sankranthi Veg Restaurant,BTM,3.0,600
Aramane Donne Biriyani,BTM,3.9,300
Cafe Potpourri,JP Nagar,3.7,400
Mani's Dum Biryani,JP Nagar,4.2,750
Amontron,BTM,3.9,650
Birinz,BTM,4.1,700
Just Shawarma,Bannerghatta Road,3.6,300
Hyderabadi Bawarchi,Bannerghatta Road,3.2,500
Fish Chain,JP Nagar,3.9,250
Prasiddhi Food Corner,JP Nagar,3.7,200
Hyderabad Biryaani House,Bannerghatta Road,3.6,550
Galito's,Bannerghatta Road,4.6,1000
Rajdhani Thali Restaurant,Bannerghatta Road,3.9,900
PHEW (Play Hard Eat Wild),BTM,3.9,700
Chicken County Grand,Bannerghatta Road,3.9,650
Roll Over,JP Nagar,4.1,500
Savoury - Sea Shell Restaurant,Bannerghatta Road,3.9,900
Firangi Bake,Bannerghatta Road,4.0,600
Zaitoon,JP Nagar,4.1,1000
Kundana,Bannerghatta Road,3.7,800
The Shawarma Shop,BTM,4.1,250
Faasos,Bannerghatta Road,3.9,500
Punjabi Food Corner,JP Nagar,3.0,400
Mealer.in,JP Nagar,4.0,450
Pathaan Sir,BTM,3.9,250
Cold Stone Creamery,Bannerghatta Road,3.9,400
Amritsari Kulcha Land,JP Nagar,4.1,300
Chokha Chowka,BTM,3.9,400
Gorbandh,BTM,4.1,400
Grills & Rolls,JP Nagar,2.5,400
Bathinda Junction,BTM,3.9,600
Stories,JP Nagar,4.2,1200
Kanti Sweets,JP Nagar,4.0,400
Seasons,Bannerghatta Road,3.8,1000
Chung Wah,Bannerghatta Road,4.0,800
Marwa Restaurant,Bannerghatta Road,3.5,600
Shanghai Court,Bannerghatta Road,4.2,700
Bhojohori Manna,JP Nagar,3.7,650
Hunger Bee,Bannerghatta Road,3.8,500
Yum In My Tum,BTM,4.1,300
Biryani Miya,JP Nagar,3.7,600
Chulha Chauki Da Dhaba,JP Nagar,4.2,800
Dreamcatcher,Bannerghatta Road,3.9,600
Magix's Parattha Roll,BTM,3.7,400
Elegant Dining,Bannerghatta Road,3.6,700
Waffle Head,BTM,4.0,300
Basmati Delights,BTM,4.0,500
Samosa Singh,JP Nagar,4.0,200
Cravings,Bannerghatta Road,3.7,400
Matka,Bannerghatta Road,3.7,500
Punjabi Swag,BTM,3.9,500
Taco Bell,Bannerghatta Road,3.7,600
Mother's Rasoi,Bannerghatta Road,3.8,250
Dosa Bazaar,JP Nagar,4.0,200
The Bong Palate,BTM,3.8,300
Upahara Darshini,Jayanagar,4.0,400
Bikaner Jn,JP Nagar,3.9,300
Crunch Pizzas,BTM,2.6,600
Kakal-Kai Ruchi,JP Nagar,3.7,500
Calorie Express,BTM,3.6,450
BANGALORE BOX,BTM,4.2,1500
Ovenstory Pizza,Bannerghatta Road,4.0,750
Slate Cafe,JP Nagar,4.1,600
Chavadi,Bannerghatta Road,4.4,1200
Nanna Munna Paratha House,BTM,4.0,300
Cucumber Town,BTM,4.2,600
Oye Amritsar,JP Nagar,3.8,1000
Brewsky,JP Nagar,4.4,1600
Chefeana,Bannerghatta Road,4.0,400
Bangaliana,Bannerghatta Road,2.9,600
Gud Dhani,BTM,4.0,500
McDonald's,Bannerghatta Road,4.0,500
WAFL,Bannerghatta Road,3.9,400
Deejas Kitchen,Bannerghatta Road,3.9,400
Pancuzzi,JP Nagar,4.2,600
Zhang's - Chinese Restaurant,JP Nagar,4.1,700
Shagun Sweets & Foods,BTM,3.5,400
Dev's Gugababa,BTM,3.5,500
Oogway Express,JP Nagar,3.9,600
Domino's Pizza,Bannerghatta Road,3.0,800
Pizza Stop,JP Nagar,3.9,600
The Egg Factory,JP Nagar,4.0,750
Chow San,Bannerghatta Road,3.0,500
Momo Jojo,JP Nagar,4.3,300
Simply Indian,Bannerghatta Road,3.9,800
Rithika's Kitchen,JP Nagar,3.8,350
Punjabi Times,Bannerghatta Road,4.1,1000
Chai Point,Bannerghatta Road,3.6,250
Cravy Wings,Bannerghatta Road,4.2,400
Funky Punjab,JP Nagar,3.9,500
Punjabi Corner,Bannerghatta Road,3.9,250
#refuel,Bannerghatta Road,3.7,400
Biggies Burger 'n' More,JP Nagar,4.1,650
Zeeshan,JP Nagar,3.1,600
Ambara Gardenia,Bannerghatta Road,3.8,800
More Pizza,JP Nagar,3.8,450
Butterly,Bannerghatta Road,3.9,450
Crafted Plate,JP Nagar,4.2,600
Shetty's Kitchen,Bannerghatta Road,3.7,600
Machali Port,JP Nagar,3.9,750
Garma Garam,Bannerghatta Road,3.2,350
The Coastal Crew by Fujian on 24th,JP Nagar,4.2,1100
BIB - Breakfast in the Box,Bannerghatta Road,3.8,600
Tandoor And Spice,JP Nagar,4.0,550
Rock Stone Ice Cream Factory,BTM,4.0,230
Paratha Plaza,JP Nagar,3.8,250
Namma Kudla,JP Nagar,3.9,400
Wangs Kitchen,Bannerghatta Road,3.0,1000
Spice Up,JP Nagar,3.8,600
Tempteys,BTM,4.2,500
Crumb Together,JP Nagar,4.1,1200
The Foodyz,JP Nagar,3.7,500
Black Mug Cafe,Bannerghatta Road,3.7,300
Meat And Eat,JP Nagar,3.7,500
Vinaya Coffee Moments,JP Nagar,3.7,450
Nagarjuna,Bannerghatta Road,4.2,800
Laddoos,BTM,3.4,250
New Prashanth Hotel,JP Nagar,3.1,750
Waffle Stories,BTM,4.0,300
Late Night,Kumaraswamy Layout,3.7,500
Waffle Walle,Bannerghatta Road,4.3,500
Dakshin Cafe,JP Nagar,4.1,100
Shake It Off,JP Nagar,4.0,600
Two Friends Cauldron,JP Nagar,4.1,700
Bun Town,BTM,4.0,500
Pot Biryani,Bannerghatta Road,3.1,600
Mango Tree- The Beer Garden,JP Nagar,4.1,1200
The Jade Kitchen,JP Nagar,4.0,400
Drunken Monkey,Bannerghatta Road,4.4,400
Woodee Pizza,JP Nagar,2.7,500
Funky Punjab,BTM,3.9,400
Intalia,Bannerghatta Road,3.6,800
Hotel Aradhana,Bannerghatta Road,3.7,300
The Chervil,JP Nagar,4.2,1000
New Royal Treat,Bannerghatta Road,2.8,350
I Cool,JP Nagar,4.0,150
Asha Sweets Centre,JP Nagar,3.9,250
Stoned Monkey,JP Nagar,3.9,500
Vinaya Cafe,JP Nagar,3.7,200
World of Waffles,JP Nagar,3.9,400
Oottupura Family Restaurant,Bannerghatta Road,3.4,400
Vyanjan,BTM,3.9,300
Watson's,JP Nagar,4.0,1300
Chicken Man,JP Nagar,3.8,400
Nandhana Palace,Bannerghatta Road,4.1,800
On The Nose,BTM,3.8,600
Udupi Thaja Thindi,BTM,2.9,250
Baba Ka Dhaba,BTM,3.7,400
Natural Ice Cream,Bannerghatta Road,4.3,150
Biriyani Mane,Jayanagar,3.7,700
Churchill's,JP Nagar,4.1,1100
The Chocolate Room,JP Nagar,3.9,400
Aramane Restaurant,Bannerghatta Road,2.9,800
Bawarchi Inn,BTM,3.1,600
Ruh's Cafe,BTM,4.1,500
Mojo Pizza - 2X Toppings,Bannerghatta Road,4.2,600
California Burrito,Bannerghatta Road,4.0,400
Tandoor Garden,BTM,3.6,350
